PASSENGERS,DISTANCE,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_NM,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_NM,MONTH
1,134,"Birmingham, AL",AL,Alabama,"Atlanta, GA",GA,Georgia,Mar
1,826,"Birmingham, AL",AL,Alabama,"Harlingen/San Benito, TX",TX,Texas,Mar
1,822,"Birmingham, AL",AL,Alabama,"Rochester, NY",NY,New York,Mar
2,906,"Birmingham, AL",AL,Alabama,"Midland/Odessa, TX",TX,Texas,Mar
2,744,"Birmingham, AL",AL,Alabama,"San Antonio, TX",TX,Texas,Mar
2,1408,"Birmingham, AL",AL,Alabama,"Tucson, AZ",AZ,Arizona,Mar
3,321,"Birmingham, AL",AL,Alabama,"New Orleans, LA",LA,Louisiana,Mar
3,1009,"Birmingham, AL",AL,Alabama,"Providence, RI",RI,Rhode Island,Mar
3,411,"Birmingham, AL",AL,Alabama,"St. Louis, MO",MO,Missouri,Mar
3,2153,"Mobile, AL",AL,Alabama,"Seattle, WA",WA,Washington,Mar
4,772,"Birmingham, AL",AL,Alabama,"Philadelphia, PA",PA,Pennsylvania,Mar
5,2013,"Birmingham, AL",AL,Alabama,"San Francisco, CA",CA,California,Mar
9,550,"Birmingham, AL",AL,Alabama,"Tulsa, OK",OK,Oklahoma,Mar
10,946,"Birmingham, AL",AL,Alabama,"Albany, NY",NY,New York,Mar
12,682,"Birmingham, AL",AL,Alabama,"Austin, TX",TX,Texas,Mar
15,632,"Birmingham, AL",AL,Alabama,"Oklahoma City, OK",OK,Oklahoma,Mar
16,866,"Birmingham, AL",AL,Alabama,"New York, NY",NY,New York,Mar
16,1759,"Birmingham, AL",AL,Alabama,"San Diego, CA",CA,California,Mar
21,1148,"Birmingham, AL",AL,Alabama,"El Paso, TX",TX,Texas,Mar
23,1968,"Birmingham, AL",AL,Alabama,"Sacramento, CA",CA,California,Mar
30,1652,"Birmingham, AL",AL,Alabama,"San Juan, PR",PR,Puerto Rico,Mar
32,510,"Huntsville, AL",AL,Alabama,"Chicago, IL",IL,Illinois,Mar
42,406,"Birmingham, AL",AL,Alabama,"Florence, SC",SC,South Carolina,Mar
42,1083,"Birmingham, AL",AL,Alabama,"Denver, CO",CO,Colorado,Mar
42,1990,"Birmingham, AL",AL,Alabama,"San Jose, CA",CA,California,Mar
49,420,"Tuscaloosa, AL",AL,Alabama,"Fayetteville, AR",AR,Arkansas,Mar
51,866,"Birmingham, AL",AL,Alabama,"New York, NY",NY,New York,Mar
54,868,"Birmingham, AL",AL,Alabama,"Lubbock, TX",TX,Texas,Mar
58,604,"Birmingham, AL",AL,Alabama,"Cleveland, OH",OH,Ohio,Mar
63,562,"Birmingham, AL",AL,Alabama,"Houston, TX",TX,Texas,Mar
75,134,"Birmingham, AL",AL,Alabama,"Atlanta, GA",GA,Georgia,Mar
76,2037,"Montgomery, AL",AL,Alabama,"San Jose, CA",CA,California,Mar
83,1455,"Birmingham, AL",AL,Alabama,"Phoenix, AZ",AZ,Arizona,Mar
85,211,"Birmingham, AL",AL,Alabama,"Memphis, TN",TN,Tennessee,Mar
89,1759,"Birmingham, AL",AL,Alabama,"San Diego, CA",CA,California,Mar
93,147,"Montgomery, AL",AL,Alabama,"Atlanta, GA",GA,Georgia,Mar
95,1532,"Montgomery, AL",AL,Alabama,"Salt Lake City, UT",UT,Utah,Mar
95,1815,"Birmingham, AL",AL,Alabama,"Los Angeles, CA",CA,California,Mar
97,365,"Birmingham, AL",AL,Alabama,"Jacksonville, FL",FL,Florida,Mar
97,744,"Birmingham, AL",AL,Alabama,"San Antonio, TX",TX,Texas,Mar
101,650,"Birmingham, AL",AL,Alabama,"Fort Lauderdale, FL",FL,Florida,Mar
114,658,"Montgomery, AL",AL,Alabama,"Kansas City, MO",MO,Missouri,Mar
133,625,"Birmingham, AL",AL,Alabama,"Detroit, MI",MI,Michigan,Mar
148,1588,"Birmingham, AL",AL,Alabama,"Bullhead City, AZ",AZ,Arizona,Mar
156,109,"Muscle Shoals, AL",AL,Alabama,"Nashville, TN",TN,Tennessee,Mar
216,441,"Mobile, AL",AL,Alabama,"Sanford, FL",FL,Florida,Mar
286,1083,"Birmingham, AL",AL,Alabama,"Denver, CO",CO,Colorado,Mar
360,198,"Muscle Shoals, AL",AL,Alabama,"Atlanta, GA",GA,Georgia,Mar
483,151,"Huntsville, AL",AL,Alabama,"Atlanta, GA",GA,Georgia,Mar
535,583,"Birmingham, AL",AL,Alabama,"Chicago, IL",IL,Illinois,Mar
723,535,"Huntsville, AL",AL,Alabama,"Orlando, FL",FL,Florida,Mar
912,603,"Huntsville, AL",AL,Alabama,"Dallas/Fort Worth, TX",TX,Texas,Mar
1039,693,"Montgomery, AL",AL,Alabama,"Washington, DC",VA,Virginia,Mar
1076,596,"Huntsville, AL",AL,Alabama,"Washington, DC",VA,Virginia,Mar
1082,583,"Birmingham, AL",AL,Alabama,"Chicago, IL",IL,Illinois,Mar
1102,1083,"Birmingham, AL",AL,Alabama,"Denver, CO",CO,Colorado,Mar
1102,613,"Huntsville, AL",AL,Alabama,"Washington, DC",VA,Virginia,Mar
1142,510,"Huntsville, AL",AL,Alabama,"Chicago, IL",IL,Illinois,Mar
1165,596,"Huntsville, AL",AL,Alabama,"Washington, DC",VA,Virginia,Mar
1182,583,"Birmingham, AL",AL,Alabama,"Chicago, IL",IL,Illinois,Mar
1239,562,"Birmingham, AL",AL,Alabama,"Houston, TX",TX,Texas,Mar
1281,625,"Birmingham, AL",AL,Alabama,"Detroit, MI",MI,Michigan,Mar
1306,1048,"Huntsville, AL",AL,Alabama,"Denver, CO",CO,Colorado,Mar
1308,622,"Montgomery, AL",AL,Alabama,"Dallas/Fort Worth, TX",TX,Texas,Mar
1346,479,"Birmingham, AL",AL,Alabama,"Orlando, FL",FL,Florida,Mar
1401,1083,"Birmingham, AL",AL,Alabama,"Denver, CO",CO,Colorado,Mar
1503,603,"Huntsville, AL",AL,Alabama,"Dallas/Fort Worth, TX",TX,Texas,Mar
1627,554,"Huntsville, AL",AL,Alabama,"Detroit, MI",MI,Michigan,Mar
1752,595,"Huntsville, AL",AL,Alabama,"Houston, TX",TX,Texas,Mar
1789,583,"Birmingham, AL",AL,Alabama,"Chicago, IL",IL,Illinois,Mar
1963,510,"Huntsville, AL",AL,Alabama,"Chicago, IL",IL,Illinois,Mar
1984,535,"Huntsville, AL",AL,Alabama,"Orlando, FL",FL,Florida,Mar
2018,583,"Birmingham, AL",AL,Alabama,"Chicago, IL",IL,Illinois,Mar
2216,1083,"Birmingham, AL",AL,Alabama,"Denver, CO",CO,Colorado,Mar
2426,595,"Huntsville, AL",AL,Alabama,"Houston, TX",TX,Texas,Mar
2456,661,"Birmingham, AL",AL,Alabama,"Miami, FL",FL,Florida,Mar
2511,302,"Mobile, AL",AL,Alabama,"Atlanta, GA",GA,Georgia,Mar
2516,427,"Mobile, AL",AL,Alabama,"Houston, TX",TX,Texas,Mar
2523,622,"Montgomery, AL",AL,Alabama,"Dallas/Fort Worth, TX",TX,Texas,Mar
2596,562,"Birmingham, AL",AL,Alabama,"Houston, TX",TX,Texas,Mar
2875,625,"Birmingham, AL",AL,Alabama,"Detroit, MI",MI,Michigan,Mar
2995,772,"Birmingham, AL",AL,Alabama,"Philadelphia, PA",PA,Pennsylvania,Mar
3316,682,"Birmingham, AL",AL,Alabama,"Baltimore, MD",MD,Maryland,Mar
3324,562,"Birmingham, AL",AL,Alabama,"Houston, TX",TX,Texas,Mar
3498,1048,"Huntsville, AL",AL,Alabama,"Denver, CO",CO,Colorado,Mar
3717,372,"Montgomery, AL",AL,Alabama,"Charlotte, NC",NC,North Carolina,Mar
3720,866,"Birmingham, AL",AL,Alabama,"New York, NY",NY,New York,Mar
3823,653,"Birmingham, AL",AL,Alabama,"Washington, DC",VA,Virginia,Mar
3888,1618,"Birmingham, AL",AL,Alabama,"Las Vegas, NV",NV,Nevada,Mar
4242,350,"Birmingham, AL",AL,Alabama,"Charlotte, NC",NC,North Carolina,Mar
4388,613,"Huntsville, AL",AL,Alabama,"Washington, DC",VA,Virginia,Mar
4505,302,"Mobile, AL",AL,Alabama,"Atlanta, GA",GA,Georgia,Mar
4862,427,"Mobile, AL",AL,Alabama,"Houston, TX",TX,Texas,Mar
4894,170,"Dothan, AL",AL,Alabama,"Atlanta, GA",GA,Georgia,Mar
4937,350,"Birmingham, AL",AL,Alabama,"Charlotte, NC",NC,North Carolina,Mar
5076,539,"Mobile, AL",AL,Alabama,"Dallas/Fort Worth, TX",TX,Texas,Mar
5111,302,"Mobile, AL",AL,Alabama,"Atlanta, GA",GA,Georgia,Mar
5118,526,"Mobile, AL",AL,Alabama,"Charlotte, NC",NC,North Carolina,Mar
5127,603,"Huntsville, AL",AL,Alabama,"Dallas/Fort Worth, TX",TX,Texas,Mar
5416,459,"Birmingham, AL",AL,Alabama,"Tampa, FL",FL,Florida,Mar
5607,570,"Birmingham, AL",AL,Alabama,"Houston, TX",TX,Texas,Mar
5699,570,"Birmingham, AL",AL,Alabama,"Chicago, IL",IL,Illinois,Mar
6236,333,"Huntsville, AL",AL,Alabama,"Charlotte, NC",NC,North Carolina,Mar
6597,587,"Birmingham, AL",AL,Alabama,"Dallas, TX",TX,Texas,Mar
6706,479,"Birmingham, AL",AL,Alabama,"Orlando, FL",FL,Florida,Mar
8414,147,"Montgomery, AL",AL,Alabama,"Atlanta, GA",GA,Georgia,Mar
9777,597,"Birmingham, AL",AL,Alabama,"Dallas/Fort Worth, TX",TX,Texas,Mar
21627,151,"Huntsville, AL",AL,Alabama,"Atlanta, GA",GA,Georgia,Mar
36036,134,"Birmingham, AL",AL,Alabama,"Atlanta, GA",GA,Georgia,Mar
1,822,"Birmingham, AL",AL,Alabama,"Rochester, NY",NY,New York,Apr
1,96,"Huntsville, AL",AL,Alabama,"Smyrna, TN",TN,Tennessee,Apr
1,1787,"Birmingham, AL",AL,Alabama,"Santa Ana, CA",CA,California,Apr
2,946,"Birmingham, AL",AL,Alabama,"Albany, NY",NY,New York,Apr
2,772,"Birmingham, AL",AL,Alabama,"Philadelphia, PA",PA,Pennsylvania,Apr
2,597,"Birmingham, AL",AL,Alabama,"Richmond, VA",VA,Virginia,Apr
3,866,"Birmingham, AL",AL,Alabama,"New York, NY",NY,New York,Apr
3,2013,"Birmingham, AL",AL,Alabama,"San Francisco, CA",CA,California,Apr
3,1184,"Birmingham, AL",AL,Alabama,"Aspen, CO",CO,Colorado,Apr
4,722,"Huntsville, AL",AL,Alabama,"Miami, FL",FL,Florida,Apr
5,1990,"Birmingham, AL",AL,Alabama,"San Jose, CA",CA,California,Apr
6,418,"Birmingham, AL",AL,Alabama,"Texarkana, AR",AR,Arkansas,Apr
6,598,"Gulf Shores, AL",AL,Alabama,"Austin, TX",TX,Texas,Apr
7,1787,"Birmingham, AL",AL,Alabama,"Santa Ana, CA",CA,California,Apr
8,682,"Birmingham, AL",AL,Alabama,"Austin, TX",TX,Texas,Apr
10,1083,"Birmingham, AL",AL,Alabama,"Denver, CO",CO,Colorado,Apr
10,1968,"Birmingham, AL",AL,Alabama,"Sacramento, CA",CA,California,Apr
11,1455,"Birmingham, AL",AL,Alabama,"Phoenix, AZ",AZ,Arizona,Apr
12,180,"Talladega, AL",AL,Alabama,"Nashville, TN",TN,Tennessee,Apr
17,604,"Birmingham, AL",AL,Alabama,"Cleveland, OH",OH,Ohio,Apr
17,2064,"Birmingham, AL",AL,Alabama,"Portland, OR",OR,Oregon,Apr
18,1815,"Birmingham, AL",AL,Alabama,"Los Angeles, CA",CA,California,Apr
19,406,"Gulf Shores, AL",AL,Alabama,"Nashville, TN",TN,Tennessee,Apr
21,650,"Birmingham, AL",AL,Alabama,"Milwaukee, WI",WI,Wisconsin,Apr
23,2005,"Birmingham, AL",AL,Alabama,"Oakland, CA",CA,California,Apr
26,744,"Birmingham, AL",AL,Alabama,"San Antonio, TX",TX,Texas,Apr
26,411,"Birmingham, AL",AL,Alabama,"St. Louis, MO",MO,Missouri,Apr
39,603,"Huntsville, AL",AL,Alabama,"Dallas/Fort Worth, TX",TX,Texas,Apr
41,603,"Huntsville, AL",AL,Alabama,"Dallas/Fort Worth, TX",TX,Texas,Apr
44,594,"Birmingham, AL",AL,Alabama,"Kansas City, MO",MO,Missouri,Apr
45,906,"Birmingham, AL",AL,Alabama,"Midland/Odessa, TX",TX,Texas,Apr
45,351,"Huntsville, AL",AL,Alabama,"Indianapolis, IN",IN,Indiana,Apr
50,351,"Huntsville, AL",AL,Alabama,"Indianapolis, IN",IN,Indiana,Apr
50,510,"Huntsville, AL",AL,Alabama,"Chicago, IL",IL,Illinois,Apr
53,441,"Mobile, AL",AL,Alabama,"Sanford, FL",FL,Florida,Apr
62,595,"Huntsville, AL",AL,Alabama,"Houston, TX",TX,Texas,Apr
69,625,"Birmingham, AL",AL,Alabama,"Detroit, MI",MI,Michigan,Apr
79,480,"Birmingham, AL",AL,Alabama,"Raleigh/Durham, NC",NC,North Carolina,Apr
80,583,"Birmingham, AL",AL,Alabama,"Chicago, IL",IL,Illinois,Apr
93,1768,"Birmingham, AL",AL,Alabama,"Ontario, CA",CA,California,Apr
105,598,"Birmingham, AL",AL,Alabama,"Pittsburgh, PA",PA,Pennsylvania,Apr
123,134,"Birmingham, AL",AL,Alabama,"Atlanta, GA",GA,Georgia,Apr
133,942,"Montgomery, AL",AL,Alabama,"Minneapolis, MN",MN,Minnesota,Apr
136,595,"Huntsville, AL",AL,Alabama,"Houston, TX",TX,Texas,Apr
139,1138,"Birmingham, AL",AL,Alabama,"Albuquerque, NM",NM,New Mexico,Apr
139,682,"Birmingham, AL",AL,Alabama,"Austin, TX",TX,Texas,Apr
165,425,"Birmingham, AL",AL,Alabama,"Indianapolis, IN",IN,Indiana,Apr
197,562,"Birmingham, AL",AL,Alabama,"Houston, TX",TX,Texas,Apr
438,198,"Muscle Shoals, AL",AL,Alabama,"Atlanta, GA",GA,Georgia,Apr
626,535,"Huntsville, AL",AL,Alabama,"Orlando, FL",FL,Florida,Apr
904,622,"Montgomery, AL",AL,Alabama,"Dallas/Fort Worth, TX",TX,Texas,Apr
913,479,"Birmingham, AL",AL,Alabama,"Orlando, FL",FL,Florida,Apr
918,693,"Montgomery, AL",AL,Alabama,"Washington, DC",VA,Virginia,Apr
1057,596,"Huntsville, AL",AL,Alabama,"Washington, DC",VA,Virginia,Apr
1116,583,"Birmingham, AL",AL,Alabama,"Chicago, IL",IL,Illinois,Apr
1121,596,"Huntsville, AL",AL,Alabama,"Washington, DC",VA,Virginia,Apr
1125,583,"Birmingham, AL",AL,Alabama,"Chicago, IL",IL,Illinois,Apr
1130,613,"Huntsville, AL",AL,Alabama,"Washington, DC",VA,Virginia,Apr
1173,510,"Huntsville, AL",AL,Alabama,"Chicago, IL",IL,Illinois,Apr
1260,583,"Birmingham, AL",AL,Alabama,"Chicago, IL",IL,Illinois,Apr
1321,1048,"Huntsville, AL",AL,Alabama,"Denver, CO",CO,Colorado,Apr
1385,583,"Birmingham, AL",AL,Alabama,"Chicago, IL",IL,Illinois,Apr
1489,1083,"Birmingham, AL",AL,Alabama,"Denver, CO",CO,Colorado,Apr
1508,554,"Huntsville, AL",AL,Alabama,"Detroit, MI",MI,Michigan,Apr
1658,1083,"Birmingham, AL",AL,Alabama,"Denver, CO",CO,Colorado,Apr
1793,583,"Birmingham, AL",AL,Alabama,"Chicago, IL",IL,Illinois,Apr
1839,562,"Birmingham, AL",AL,Alabama,"Houston, TX",TX,Texas,Apr
1844,535,"Huntsville, AL",AL,Alabama,"Orlando, FL",FL,Florida,Apr
1866,1083,"Birmingham, AL",AL,Alabama,"Denver, CO",CO,Colorado,Apr
1985,661,"Birmingham, AL",AL,Alabama,"Miami, FL",FL,Florida,Apr
2070,510,"Huntsville, AL",AL,Alabama,"Chicago, IL",IL,Illinois,Apr
2098,427,"Mobile, AL",AL,Alabama,"Houston, TX",TX,Texas,Apr
2150,562,"Birmingham, AL",AL,Alabama,"Houston, TX",TX,Texas,Apr
2209,622,"Montgomery, AL",AL,Alabama,"Dallas/Fort Worth, TX",TX,Texas,Apr
2391,562,"Birmingham, AL",AL,Alabama,"Houston, TX",TX,Texas,Apr
2678,682,"Birmingham, AL",AL,Alabama,"Baltimore, MD",MD,Maryland,Apr
2855,772,"Birmingham, AL",AL,Alabama,"Philadelphia, PA",PA,Pennsylvania,Apr
2958,595,"Huntsville, AL",AL,Alabama,"Houston, TX",TX,Texas,Apr
3070,1618,"Birmingham, AL",AL,Alabama,"Las Vegas, NV",NV,Nevada,Apr
3341,350,"Birmingham, AL",AL,Alabama,"Charlotte, NC",NC,North Carolina,Apr
3443,1048,"Huntsville, AL",AL,Alabama,"Denver, CO",CO,Colorado,Apr
3465,372,"Montgomery, AL",AL,Alabama,"Charlotte, NC",NC,North Carolina,Apr
3616,653,"Birmingham, AL",AL,Alabama,"Washington, DC",VA,Virginia,Apr
3627,302,"Mobile, AL",AL,Alabama,"Atlanta, GA",GA,Georgia,Apr
3776,302,"Mobile, AL",AL,Alabama,"Atlanta, GA",GA,Georgia,Apr
3776,866,"Birmingham, AL",AL,Alabama,"New York, NY",NY,New York,Apr
4138,427,"Mobile, AL",AL,Alabama,"Houston, TX",TX,Texas,Apr
4162,613,"Huntsville, AL",AL,Alabama,"Washington, DC",VA,Virginia,Apr
4448,625,"Birmingham, AL",AL,Alabama,"Detroit, MI",MI,Michigan,Apr
4745,302,"Mobile, AL",AL,Alabama,"Atlanta, GA",GA,Georgia,Apr
4754,459,"Birmingham, AL",AL,Alabama,"Tampa, FL",FL,Florida,Apr
4816,539,"Mobile, AL",AL,Alabama,"Dallas/Fort Worth, TX",TX,Texas,Apr
4830,526,"Mobile, AL",AL,Alabama,"Charlotte, NC",NC,North Carolina,Apr
4957,170,"Dothan, AL",AL,Alabama,"Atlanta, GA",GA,Georgia,Apr
5020,570,"Birmingham, AL",AL,Alabama,"Chicago, IL",IL,Illinois,Apr
5108,350,"Birmingham, AL",AL,Alabama,"Charlotte, NC",NC,North Carolina,Apr
