Date,State,Cases,Deaths,Population_State,%PopInfected
3/17/20,AL,39,0,4903185,0.00
3/18/20,AL,51,0,4903185,0.00
3/19/20,AL,78,0,4903185,0.00
3/20/20,AL,106,0,4903185,0.00
3/21/20,AL,131,0,4903185,0.00
3/22/20,AL,157,0,4903185,0.00
3/23/20,AL,196,0,4903185,0.00
3/24/20,AL,242,0,4903185,0.00
3/25/20,AL,386,1,4903185,0.01
3/26/20,AL,538,3,4903185,0.01
3/27/20,AL,639,4,4903185,0.01
3/28/20,AL,720,4,4903185,0.01
3/29/20,AL,830,5,4903185,0.02
3/30/20,AL,947,11,4903185,0.02
3/31/20,AL,999,13,4903185,0.02
4/1/20,AL,1106,28,4903185,0.02
4/2/20,AL,1270,32,4903185,0.03
4/3/20,AL,1535,38,4903185,0.03
4/4/20,AL,1633,44,4903185,0.03
4/5/20,AL,1841,45,4903185,0.04
4/6/20,AL,2006,53,4903185,0.04
4/7/20,AL,2197,64,4903185,0.04
4/8/20,AL,2499,67,4903185,0.05
4/9/20,AL,2838,78,4903185,0.06
4/10/20,AL,3008,80,4903185,0.06
4/11/20,AL,3262,93,4903185,0.07
4/12/20,AL,3583,93,4903185,0.07
4/13/20,AL,3805,104,4903185,0.08
4/14/20,AL,3953,114,4903185,0.08
4/15/20,AL,4241,123,4903185,0.09
4/16/20,AL,4404,137,4903185,0.09
3/17/20,AK,6,0,731545,0.00
3/18/20,AK,9,0,731545,0.00
3/19/20,AK,12,0,731545,0.00
3/20/20,AK,14,0,731545,0.00
3/21/20,AK,21,0,731545,0.00
3/22/20,AK,22,0,731545,0.00
3/23/20,AK,36,0,731545,0.00
3/24/20,AK,42,0,731545,0.01
3/25/20,AK,59,0,731545,0.01
3/26/20,AK,69,0,731545,0.01
3/27/20,AK,85,1,731545,0.01
3/28/20,AK,102,1,731545,0.01
3/29/20,AK,114,1,731545,0.02
3/30/20,AK,119,2,731545,0.02
3/31/20,AK,133,2,731545,0.02
4/1/20,AK,143,2,731545,0.02
4/2/20,AK,146,2,731545,0.02
4/3/20,AK,156,2,731545,0.02
4/4/20,AK,169,3,731545,0.02
4/5/20,AK,185,4,731545,0.03
4/6/20,AK,189,4,731545,0.03
4/7/20,AK,211,4,731545,0.03
4/8/20,AK,224,5,731545,0.03
4/9/20,AK,233,5,731545,0.03
4/10/20,AK,244,5,731545,0.03
4/11/20,AK,255,6,731545,0.03
4/12/20,AK,270,6,731545,0.04
4/13/20,AK,275,6,731545,0.04
4/14/20,AK,283,7,731545,0.04
4/15/20,AK,291,7,731545,0.04
4/16/20,AK,298,7,731545,0.04
3/17/20,AZ,20,0,7278717,0.00
3/18/20,AZ,28,0,7278717,0.00
3/19/20,AZ,47,0,7278717,0.00
3/20/20,AZ,70,1,7278717,0.00
3/21/20,AZ,104,1,7278717,0.00
3/22/20,AZ,153,2,7278717,0.00
3/23/20,AZ,234,2,7278717,0.00
3/24/20,AZ,326,6,7278717,0.00
3/25/20,AZ,402,6,7278717,0.01
3/26/20,AZ,508,8,7278717,0.01
3/27/20,AZ,665,15,7278717,0.01
3/28/20,AZ,773,15,7278717,0.01
3/29/20,AZ,929,18,7278717,0.01
3/30/20,AZ,1169,20,7278717,0.02
3/31/20,AZ,1298,24,7278717,0.02
4/1/20,AZ,1413,29,7278717,0.02
4/2/20,AZ,1600,35,7278717,0.02
4/3/20,AZ,1769,41,7278717,0.02
4/4/20,AZ,2019,53,7278717,0.03
4/5/20,AZ,2269,64,7278717,0.03
4/6/20,AZ,2465,67,7278717,0.03
4/7/20,AZ,2575,77,7278717,0.04
4/8/20,AZ,2726,80,7278717,0.04
4/9/20,AZ,3018,89,7278717,0.04
4/10/20,AZ,3112,97,7278717,0.04
4/11/20,AZ,3393,112,7278717,0.05
4/12/20,AZ,3539,117,7278717,0.05
4/13/20,AZ,3702,122,7278717,0.05
4/14/20,AZ,3806,131,7278717,0.05
4/15/20,AZ,3962,142,7278717,0.05
4/16/20,AZ,4234,152,7278717,0.06
3/17/20,AR,22,0,3017804,0.00
3/18/20,AR,33,0,3017804,0.00
3/19/20,AR,62,0,3017804,0.00
3/20/20,AR,100,0,3017804,0.00
3/21/20,AR,118,0,3017804,0.00
3/22/20,AR,165,0,3017804,0.01
3/23/20,AR,201,0,3017804,0.01
3/24/20,AR,232,2,3017804,0.01
3/25/20,AR,308,2,3017804,0.01
3/26/20,AR,351,3,3017804,0.01
3/27/20,AR,386,3,3017804,0.01
3/28/20,AR,409,5,3017804,0.01
3/29/20,AR,449,6,3017804,0.01
3/30/20,AR,508,7,3017804,0.02
3/31/20,AR,564,8,3017804,0.02
4/1/20,AR,624,10,3017804,0.02
4/2/20,AR,683,12,3017804,0.02
4/3/20,AR,738,12,3017804,0.02
4/4/20,AR,743,14,3017804,0.02
4/5/20,AR,853,16,3017804,0.03
4/6/20,AR,927,16,3017804,0.03
4/7/20,AR,997,18,3017804,0.03
4/8/20,AR,1077,18,3017804,0.04
4/9/20,AR,1146,21,3017804,0.04
4/10/20,AR,1202,24,3017804,0.04
4/11/20,AR,1228,25,3017804,0.04
4/12/20,AR,1280,27,3017804,0.04
4/13/20,AR,1475,30,3017804,0.05
4/14/20,AR,1498,32,3017804,0.05
4/15/20,AR,1599,34,3017804,0.05
4/16/20,AR,1620,37,3017804,0.05
3/17/20,CA,732,14,39512223,0.00
3/18/20,CA,893,17,39512223,0.00
3/19/20,CA,1067,19,39512223,0.00
3/20/20,CA,1283,24,39512223,0.00
3/21/20,CA,1544,28,39512223,0.00
3/22/20,CA,1851,35,39512223,0.00
3/23/20,CA,2240,39,39512223,0.01
3/24/20,CA,2644,52,39512223,0.01
3/25/20,CA,3183,67,39512223,0.01
3/26/20,CA,4060,82,39512223,0.01
3/27/20,CA,4914,102,39512223,0.01
3/28/20,CA,5565,121,39512223,0.01
3/29/20,CA,6266,130,39512223,0.02
3/30/20,CA,7421,146,39512223,0.02
3/31/20,CA,8582,183,39512223,0.02
4/1/20,CA,9816,212,39512223,0.02
4/2/20,CA,11190,247,39512223,0.03
4/3/20,CA,12569,282,39512223,0.03
4/4/20,CA,13796,323,39512223,0.03
4/5/20,CA,15076,349,39512223,0.04
4/6/20,CA,16284,386,39512223,0.04
4/7/20,CA,17540,447,39512223,0.04
4/8/20,CA,19043,506,39512223,0.05
4/9/20,CA,20191,548,39512223,0.05
4/10/20,CA,21366,594,39512223,0.05
4/11/20,CA,22421,632,39512223,0.06
4/12/20,CA,23323,676,39512223,0.06
4/13/20,CA,24334,725,39512223,0.06
4/14/20,CA,25758,778,39512223,0.07
4/15/20,CA,27107,885,39512223,0.07
4/16/20,CA,28142,971,39512223,0.07
3/17/20,CO,183,3,5758736,0.00
3/18/20,CO,216,3,5758736,0.00
